sample_id,sentence_text,source_type,sentence_type,obligation_level,action_type,condition_type,hazard_candidate,equipment_candidate,work_type_candidate,control_category_candidate,control_type_candidate,control_name_candidate,legal_required_possible,confidence,review_note
S0109,동일한 유해요인으로 급성중독 등 대통령령으로 정하는 직업성 질병자가 1년 이내에 3명 이상 발생 3.,law,descriptive_noise,informative,,quantity_threshold,,,,,,,,low,
S0110,"""중대시민재해""란 특정 원료 또는 제조물, 공중이용시설 또는 공중교통수단의 설계, 제조, 설치, 관리상의 결함을 원인으로 하여 발생한 재해로서 다음 각 목의 어느 하나에 해당하는 결과를 야기한 재해를 말한다.",law,descriptive_noise,informative,install,,,,,,,,,low,
S0111,동일한 사고로 2개월 이상 치료가 필요한 부상자가 10명 이상 발생 다.,law,descriptive_noise,informative,,quantity_threshold,,,,,,,,low,
S0112,동일한 원인으로 3개월 이상 치료가 필요한 질병자가 10명 이상 발생 4.,law,descriptive_noise,informative,,quantity_threshold,,,,,,,,low,
S0113,그 밖에 가목부터 다목까지에 준하는 시설로서 재해 발생 시 생명ㆍ신체상의 피해가 발생할 우려가 높은 장소 5.,law,descriptive_noise,informative,,incident_emergency,,,,,,,,low,
S0114,「도시철도법」 제2조제2호에 따른 도시철도의 운행에 사용되는 도시철도차량 나.,law,descriptive_noise,informative,,,,,,,,,,low,
S0115,「여객자동차 운수사업법 시행령」 제3조제1호라목에 따른 노선 여객자동차운송사업에 사용되는 승합자동차 라.,law,descriptive_noise,informative,,,,,,,,,,low,
S0116,「해운법」 제2조제1호의2의 여객선 마.,law,descriptive_noise,informative,,,,,,,,,,low,
S0117,「항공사업법」 제2조제7호에 따른 항공운송사업에 사용되는 항공기 6.,law,descriptive_noise,informative,,,,,,,,,,low,
S0118,"""종사자""란 다음 각 목의 어느 하나에 해당하는 자를 말한다.",law,descriptive_noise,informative,,,,,,,,,,low,
S0119,「근로기준법」상의 근로자 나.,law,descriptive_noise,informative,,,,,,,,,,low,
S0120,"도급, 용역, 위탁 등 계약의 형식에 관계없이 그 사업의 수행을 위하여 대가를 목적으로 노무를 제공하는 자 다.",law,descriptive_noise,informative,,,,,,,,,,low,
S0121,"""건설업 산업안전보건관리비""(이하 ""산업안전보건관리비""라 한다)란 산업재해 예방을 위하여 건설공사 현장에서 직접 사용되거나 해당 건설업체의 본점 또는 주사무소(이하 ""본사""라 한다)에 설치된 안전전담부서에서 법령에 규정된 사항을 이행하는 데 소요되는 비용을 말한다.",admrul,definition,informative,install,,,,,,,,,low,
S0122,"""산업안전보건관리비 대상액""(이하 ""대상액""이라 한다)이란 「예정가격 작성기준」(기획재정부 계약예규) 및 「지방자치단체 입찰 및 계약집행기준」(행정안전부 예규) 등 관련 규정에서 정하는 공사원가계산서 구성항목 중 직접재료비, 간접재료비와 직접노무비를 합한 금액(발주자가 재료를 제공할 경우에는 해당 재료비를 포함한다)을 말한다.",admrul,definition,informative,prepare,,,,,,,,,low,
S0123,"""건설공사발주자""(이하 ""발주자""라 한다)란 법 제2조제10호에 따른 건설공사발주자를 말한다.",admrul,definition,informative,,,,,,,,,,low,
S0124,"""건설공사도급인""이란 발주자에게 건설공사를 도급받은 사업주로서 건설공사의 시공을 주도하여 총괄ㆍ관리하는 자를 말한다.",admrul,definition,informative,,,,,,,,,,low,
S0125,"""자기공사자""란 건설공사의 시공을 주도하여 총괄ㆍ관리하는 자(발주자로부터 건설공사를 최초로 도급받은 수급인은 제외한다)를 말한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0126,"그 밖에 이 고시에서 사용하는 용어의 정의는 이 고시에 특별한 규정이 없으면「산업안전보건법」(이하 ""법""이라 한다), 같은 법 시행령(이하 ""영""이라 한다), 같은 법 시행규칙(이하 ""규칙""이라 한다), 예산회계 및 건설관계법령에서 정하는 바에 따른다.",admrul,definition,informative,,,,,,,,,,low,
S0127,"다만, 단가계약에 의하여 행하는 공사에 대하여는 총계약금액을 기준으로 적용한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0128,"제4조(계상의무 및 기준) ① 발주자가 도급계약 체결을 위한 원가계산에 의한 예정가격을 작성하거나, 자기공사자가 건설공사 사업 계획을 수립할 때에는 다음 각 호에 따라 산정한 금액 이상의 산업안전보건관리비를 계상하여야 한다.",admrul,requirement,mandatory,prepare,,,,,,,,,low,
S0129,"다만, 발주자가 재료를 제공하거나 일부 물품이 완제품의 형태로 제작ㆍ납품되는 경우에는 해당 재료비 또는 완제품 가액을 대상액에 포함하여 산출한 산업안전보건관리비와 해당 재료비 또는 완제품 가액을 대상액에서 제외하고 산출한 산업안전보건관리비의 1.2배에 해당하는 값을 비교하여 그 중 작은 값 이상의 금액으로 계상한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0130,대상액이 5억 원 미만 또는 50억 원 이상인 경우: 대상액에 별표 1에서 정한 비율을 곱한 금액,admrul,legal_reference,informative,,,,,,,,,,low,
S0131,대상액이 5억 원 이상 50억 원 미만인 경우: 대상액에 별표 1에서 정한 비율을 곱한 금액에 기초액을 합한 금액,admrul,legal_reference,informative,,,,,,,,,,low,
S0132,"발주자와 법 제69조에 따른 건설공사도급인 중 자기공사자를 제외하고 발주자로부터 해당 건설공사를 최초로 도급받은 수급인(이하 ""도급인""이라 한다)은 공사계약을 체결할 경우 제1항에 따라 계상된 산업안전보건관리비를 공사도급계약서에 별도로 표시하여야 한다.",admrul,definition,informative,,,,,,,,,,low,
S0133,별표 1의 공사의 종류는 별표 5의 건설공사의 종류 예시표에 따른다.,admrul,legal_reference,informative,,,,,,,,,,low,
S0134,"다만, 하나의 사업장 내에 건설공사 종류가 둘 이상인 경우(분리발주한 경우를 제외한다)에는 공사금액이 가장 큰 공사종류를 적용한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0135,발주자 또는 자기공사자는 설계변경 등으로 대상액의 변동이 있는 경우 별표 1의3에 따라 지체 없이 산업안전보건관리비를 조정 계상하여야 한다.,admrul,legal_reference,informative,,,,,,,,,,low,
S0136,"다만, 설계변경으로 공사금액이 800억 원 이상으로 증액된 경우에는 증액된 대상액을 기준으로 제1항에 따라 재계상한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0137,제7조(사용기준) ① 도급인과 자기공사자는 산업안전보건관리비를 산업재해예방 목적으로 다음 각 호의 기준에 따라 사용하여야 한다.,admrul,requirement,mandatory,,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,high,
S0138,별표 1의2에 해당하는 작업을 직접 지휘ㆍ감독하는 직ㆍ조ㆍ반장 등 관리감독자의 직위에 있는 자가 영 제15조제1항에서 정하는 업무를 수행하는 경우에 지급하는 업무수당(임금의 10분의 1 이내),admrul,legal_reference,informative,provide,,,,,,,,,low,
S0139,"산업재해 예방을 위한 안전난간, 추락방호망, 안전대 부착설비, 방호장치(기계ㆍ기구와 방호장치가 일체로 제작된 경우, 방호장치 부분의 가액에 한함) 등 안전시설의 구입ㆍ임대 및 설치 등을 위해 소요되는 비용",admrul,ppe_rule,mandatory,install,,,,,engineering_control,ctrl_harness_attachment,안전대 부착설비 설치,Y,high,
S0140,"다만, 제4조에 따라 계상된 산업안전보건관리비 총액의 10분의 2를 초과할 수 없다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0141,가목 이외 산업재해 예방이 주된 목적인 교육을 실시하기 위해 소요되는 비용,admrul,education_rule,mandatory,train,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,high,
S0142,「응급의료에 관한 법률」 제14조제1항제5호에 따른 안전보건교육 대상자 등에게 구조 및 응급처치에 관한 교육을 실시하기 위해 소요되는 비용,admrul,education_rule,mandatory,train,,,,,training_control,ctrl_safety_training_general,정기 안전보건교육,Y,high,
S0143,"다만, 행사의 방법, 소요된 비용 등을 고려하여 사회통념에 적합한 행사에 한한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0144,"다만, 제4조에 따라 계상된 산업안전보건관리비 총액의 20분의 1을 초과할 수 없다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0145,법 제36조에 따른 위험성평가 또는 「중대재해 처벌 등에 관한 법률 시행령」 제4조제3호에 따라 유해ㆍ위험요인 개선을 위해 필요하다고 판단하여 법 제24조의 산업안전보건위원회 또는 법 제75조의 노사협의체에서 사용하기로 결정한 사항을 이행하기 위한 비용(산업안전보건위원회 또는 노사협의체가 없는 현장의 경우에는 근로자의 의견을 들어 법 제64조에 따른 안전 및 보건에 관한 협의체에서 결정한 사항을 이행하기 위한 비용을 말한다).,admrul,definition,informative,,,,,,,,,,low,
S0146,"다만, 제4조에 따라 계상된 산업안전보건관리비 총액의 100분의 15를 초과할 수 없다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0147,"다만, 제1항제2호나목 및 다목, 제1항제6호나목부터 마목, 제1항제9호의 경우에는 그러하지 아니하다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0148,"「(계약예규)예정가격작성기준」제19조제3항 중 각 호(단, 제14호는 제외한다)에 해당되는 비용",admrul,scope_exclusion,exception,prepare,,,,,,,,,low,
S0149,도급인 및 자기공사자는 별표 3에서 정한 공사진척에 따른 산업안전보건관리비 사용기준을 준수하여야 한다.,admrul,legal_reference,informative,,,,,,,,,,low,
S0150,"다만, 건설공사발주자는 건설공사의 특성 등을 고려하여 사용기준을 달리 정할 수 있다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0151,제9조(사용내역의 확인) ① 도급인은 산업안전보건관리비 사용내역에 대하여 공사 시작 후 6개월마다 1회 이상 발주자 또는 감리자의 확인을 받아야 한다.,admrul,inspection_rule,mandatory,,periodic_schedule,,,,inspection_control,ctrl_periodic_inspection,정기 점검,Y,high,
S0152,"다만, 6개월 이내에 공사가 종료되는 경우에는 종료 시 확인을 받아야 한다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0153,"""유해ㆍ위험요인""이란 유해ㆍ위험을 일으킬 잠재적 가능성이 있는 것의 고유한 특징이나 속성을 말한다.",admrul,definition,informative,,,,,,,,,,low,
S0154,"""위험성""이란 유해ㆍ위험요인이 사망, 부상 또는 질병으로 이어질 수 있는 가능성과 중대성 등을 고려한 위험의 정도를 말한다.",admrul,definition,informative,,,,,,,,,,low,
S0155,"""위험성평가""란 사업주가 스스로 유해ㆍ위험요인을 파악하고 해당 유해ㆍ위험요인의 위험성 수준을 결정하여, 위험성을 낮추기 위한 적절한 조치를 마련하고 실행하는 과정을 말한다.",admrul,definition,informative,,,,,,,,,,low,
S0156,"그 밖에 이 고시에서 사용하는 용어의 뜻은 이 고시에 특별히 정한 것이 없으면 「산업안전보건법」(이하 ""법""이라 한다), 같은 법 시행령(이하 ""영""이라 한다), 같은 법 시행규칙(이하 ""규칙""이라 한다) 및「산업안전보건기준에 관한 규칙」(이하 ""안전보건규칙""이라 한다)에서 정하는 바에 따른다.",admrul,definition,informative,,,,,,,,,,low,
S0157,"제4조(정부의 책무) ① 고용노동부장관(이하 ""장관""이라 한다)은 사업장 위험성평가가 효과적으로 추진되도록 하기 위하여 다음 각 호의 사항을 강구하여야 한다.",admrul,definition,informative,,,,,,,,,,low,
S0158,"장관은 제1항 각 호의 사항 중 필요한 사항을 한국산업안전보건공단(이하 ""공단""이라 한다)으로 하여금 수행하게 할 수 있다.",admrul,definition,informative,,,,,,,,,,low,
S0159,제5조(위험성평가 실시주체) ① 사업주는 스스로 사업장의 유해ㆍ위험요인을 파악하고 이를 평가하여 관리 개선하는 등 위험성평가를 실시하여야 한다.,admrul,requirement,mandatory,,,,,,,,,,low,
S0160,"법 제63조에 따른 작업의 일부 또는 전부를 도급에 의하여 행하는 사업의 경우는 도급을 준 도급인(이하 ""도급사업주""라 한다)과 도급을 받은 수급인(이하 ""수급사업주""라 한다)은 각각 제1항에 따른 위험성평가를 실시하여야 한다.",admrul,definition,informative,,,,,,,,,,low,
S0161,제2항에 따른 도급사업주는 수급사업주가 실시한 위험성평가 결과를 검토하여 도급사업주가 개선할 사항이 있는 경우 이를 개선하여야 한다.,admrul,requirement,mandatory,,,,,,,,,,low,
S0162,"다만, 매우 경미한 부상 및 질병만을 초래할 것으로 명백히 예상되는 유해ㆍ위험요인은 평가 대상에서 제외할 수 있다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0163,"사업주는 사업장 내 부상 또는 질병으로 이어질 가능성이 있었던 상황(이하 ""아차사고""라 한다)을 확인한 경우에는 해당 사고를 일으킨 유해ㆍ위험요인을 위험성평가의 대상에 포함시켜야 한다.",admrul,definition,informative,,,,,,,,,,low,
S0164,"사업주는 사업장 내에서 법 제2조제2호의 중대재해가 발생한 때에는 지체 없이 중대재해의 원인이 되는 유해ㆍ위험요인에 대해 제15조제2항의 위험성평가를 실시하고, 그 밖의 사업장 내 유해ㆍ위험요인에 대해서는 제15조제3항의 위험성평가 재검토를 실시하여야 한다.",admrul,requirement,mandatory,,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,high,
S0165,"제6조(근로자 참여) 사업주는 위험성평가를 실시할 때, 법 제36조제2항에 따라 다음 각 호에 해당하는 경우 해당 작업에 종사하는 근로자를 참여시켜야 한다.",admrul,condition_trigger,informative,,,,,,,,,,low,
S0166,제7조(위험성평가의 방법) ① 사업주는 다음과 같은 방법으로 위험성평가를 실시하여야 한다.,admrul,requirement,mandatory,,,,,,,,,,low,
S0167,사업주는 제1항에서 정하고 있는 자에 대해 위험성평가를 실시하기 위해 필요한 교육을 실시하여야 한다.,admrul,education_rule,mandatory,train,,,,,,,,,low,
S0168,"이 경우 위험성평가에 대해 외부에서 교육을 받았거나, 관련학문을 전공하여 관련 지식이 풍부한 경우에는 필요한 부분만 교육을 실시하거나 교육을 생략할 수 있다.",admrul,education_rule,mandatory,train,,,,,,,,,low,
S0169,"다만, 공정안전보고서의 내용 중 공정위험성 평가서가 최대 4년 범위 이내에서 정기적으로 작성된 경우에 한한다.",admrul,scope_exclusion,exception,prepare,,,,,,,,,low,
S0170,제8조(위험성평가의 절차) 사업주는 위험성평가를 다음의 절차에 따라 실시하여야 한다.,admrul,requirement,mandatory,,,,,,,,,,low,
S0171,"다만, 상시근로자 5인 미만 사업장(건설공사의 경우 1억원 미만)의 경우 제1호의 절차를 생략할 수 있다.",admrul,scope_exclusion,exception,,,,,,,,,,low,
S0172,"제1조(목적) 이 고시는 「산업안전보건법」 제72조, 같은 법 시행령 제59조 및 제60조와 같은 법 시행규칙 제89조에 따라 건설업의 산업안전보건관리비 계상 및 사용기준을 정함을 목적으로 한다.",admrul,descriptive_noise,informative,,,,,,,,,,low,
S0173,제2조(정의) ① 이 고시에서 사용하는 용어의 뜻은 다음과 같다.,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0174,"""감리자""란 다음 각 목의 어느 하나에 해당하는 자를 말한다.",admrul,descriptive_noise,informative,,,,,,,,,,low,
S0175,「건설기술진흥법」 제2조제5호에 따른 감리 업무를 수행하는 자,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0176,「건축법」 제2조제1항제15호의 공사감리자,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0177,「문화재수리 등에 관한 법률」 제2조제12호의 문화재감리원,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0178,「소방시설공사업법」 제2조제3호의 감리원,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0179,「전력기술관리법」 제2조제5호의 감리원,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0180,「정보통신공사업법」 제2조제10호의 감리원,admrul,descriptive_noise,informative,,,,,,,,,,low,
S0181,항목별 실행계획 항목 금액 비율 (%) 안전·보건관리자 임금 등 % 안전시설비 등 % 보호구 등 % 안전보건진단비 등 % 안전보건교육비 등 % 근로자 건강장해예방비 등 % 건설재해예방전문지도기관 기술지도비 % 본사 전담조직 근로자 임금 등 % 위험성평가 등에 따른 소요비용 % 총계 100% 210㎜×297㎜[일반용지 60g/㎡(재활용품)] (뒤쪽) 3.,licbyl,education_rule,mandatory,train,,,,,training_control,ctrl_safety_training_general,정기 안전보건교육,Y,high,
S0182,세부 사용계획 항목 세부항목 단위 수 량 금액 산출 명세 사용시기 안전·보건관리자 임금 등 안전시설비 등 보호구 등 안전보건진단비 등 안전보건교육비 등 근로자 건강장해예방비 등 건설재해예방전문지도기관 기술지도비 본사 전담조직 근로자 임금 등 위험성평가 등에 따른 소요비용,licbyl,education_rule,mandatory,train,,,,,training_control,ctrl_safety_training_general,정기 안전보건교육,Y,high,
S0183,■ 산업안전보건법 시행령 [별표 9] <개정 2024.,licbyl,legal_reference,informative,,,,,,,,,,low,
S0184,"화학물질 및 화학제품 제조업; 의약품 제외(세제, 화장품 및 광택제 제조업과 화학섬유 제조업은 제외한다) 4.",licbyl,scope_exclusion,exception,,hazardous_substance,,,,,,,,low,
S0185,기타 기계 및 장비 제조업(사무용 기계 및 장비 제조업은 제외한다) 9.,licbyl,scope_exclusion,exception,,,,,,,,,,low,
S0186,기타 운송장비 제조업(전투용 차량 제조업은 제외한다) 상시근로자 50명 이상 10.,licbyl,scope_exclusion,exception,,quantity_threshold,,,,,,,,low,
S0187,"전문, 과학 및 기술 서비스업(연구개발업은 제외한다) 18.",licbyl,scope_exclusion,exception,,,,,,,,,,low,
S0188,건설업 공사금액 120억원 이상( 「건설산업기본법 시행령」 별표 1의 종합공사를 시공하는 업종의 건설업종란 제1호에 따른 토목공사업의 경우에는 150억원 이상) 21.,licbyl,legal_reference,informative,,,,,,,,,,low,
S0189,> 변경신청서(법인 등 신청용) [ ] 안전관리전문기관 [ ] [ ] 건설재해예방전문지도기관 [ ] 자율안전검사 기관 [ ] 안전 [ ] 안전검사기관 [ ] 특수건강진단기관 [ ] 작업환경측정기관 (위탁/자체) [ ] 종합진단기관 [ ] 안전진단기관(일반안전 ㆍ 건설안전진단기관) [ ] 안전보건진단기관 [ ] 석면조사기관 ※ [ ]에는 해당되는 곳에 √ 표시를 합니다.,licbyl,inspection_rule,mandatory,inspect,,,,,health_control,ctrl_special_health_check,특수건강진단,Y,high,
S0190,■ 산업안전보건법 시행규칙 [별표 2] <개정 2024.,licbyl,legal_reference,informative,,,,,,,,,,low,
S0191,"전문, 과학 및 기술 서비스업(연구개발업은 제외한다) 9.",licbyl,scope_exclusion,exception,,,,,,,,,,low,
S0192,■ 산업안전보건법 시행규칙 [별표 3] 안전보건관리규정의 세부 내용 ( 제25조 제2항 관련) 1.,licbyl,legal_reference,informative,,,,,,,,,,low,
S0193,"근로자 건강진단, 작업환경측정의 실시 및 조치절차 등에 관한 사항 나.",licbyl,inspection_rule,mandatory,measure,,,,,inspection_control,ctrl_working_environment_measurement,작업환경측정,Y,high,
S0194,■ 산업안전보건법 시행령 [별표 2] <개정 2024.,licbyl,legal_reference,informative,,,,,,,,,,low,
S0195,"전문, 과학 및 기술 서비스업(연구개발업은 제외한다) 31.",licbyl,scope_exclusion,exception,,,,,,,,,,low,
S0196,> 지정신청서(법인 등 신청용) [ ] 안전관리전문기관 [ ] [ ] 건설재해예방전문지도기관 [ ] 자율안전검 사기관 [ ] 안전 [ ] 안전검사기관 [ ] 특수건강진단기관 [ ] 작업환경측정기관 (위탁/자체) [ ] 종합진단기관 [ ] 안전진단기관 [ ] 안전보건진단기관 [ ] 석면조사기관 ※ [ ]에는 해당되는 곳에 √ 표시를 합니다.,licbyl,inspection_rule,mandatory,inspect,,,,,health_control,ctrl_special_health_check,특수건강진단,Y,high,
S0197,최초 1년간의 사업계획서(건설재해예방전문지도기관 및 석면조사기관은 제외하며 사업장 자체 측정기관의 경우에는 측정대상 사업장의 명단 및 최종 작업환경측정 결과서 사본) 6.,licbyl,inspection_rule,mandatory,measure,,,,,inspection_control,ctrl_working_environment_measurement,작업환경측정,Y,high,
S0198,"다만, 건강진단ㆍ분석능력 평가 결과 적합판정을 받은 건강진단기관과 생물학적 노출지표 분석의뢰계약을 체결하고 계약서를 제출하는 경우에는 그 계약서(제211조제1항에 따라 특수건강진단기관 지정을 신청하는 경우만 해당합니다) 7.",licbyl,scope_exclusion,exception,,,,,,,,,,low,
S0199,■ 산업안전보건법 시행규칙 [별지 제8호의2서식] <신설 2024.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0200,"> [ ]안전관리전문기관 [ ]보건관리전문기관 변경 (산업안전ㆍ보건지도사 신청용) [ ]건설재해예방전문지도기관 ※ 색상이 어두운 칸은 신청인이 작성하지 않으며 , [ ]에는 해당되는 곳에 √표를 합니다.",licbyl,descriptive_noise,informative,prepare,,,,,,,,,low,
S0201,"접수번호 접수일시 처리일자 처리기간 20일 신청인 성명 업무지역 사무소 사무소 명칭 전화번호 소재지 대표자 성명(변경신청하는 지도사와 대표자가 다른 경우만 기입합니다) 변경사항 변경 전 변경 후 변경 사유 발생일 「산업안전보건법」, 같은 법 시행령 및 같은 법 시행규칙의 관련 규정에 따라 위와 같이 변경사항을 신청합니다.",licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0202,년 월 일 신청인 (서명 또는 인) 고용노동부장관 ㆍ 지방고용노동청장 귀하 첨부서류 1.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0203,변경을 증명하는 서류 1부 2.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0204,지정서 원본 수수료 없음 공지사항 본 민원의 처리결과에 대한 만족도 조사 및 관련 제도 개선에 필요한 의견조사를 위해 귀하의 전화번호(휴대전화)로 전화조사를 실시할 수 있습니다.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0205,처리절차 신청서 작성 ‣ 접 수 ‣ 확인 ㆍ 검토 ‣ 결 재 ‣ 시 행 ‣ 지정 통보 신청인 문서 접수 담당부서 산업안전ㆍ 보건업무 담당부서 장관ㆍ지방고용노동청장 문서 발송 담당부서,licbyl,descriptive_noise,informative,prepare,,,,,,,,,low,
S0206,■ 산업안전보건법 시행규칙 [별지 제6호의2서식] <신설 2024.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0207,"> [ ]안전관리전문기관 [ ]보건관리전문기관 (산업안전ㆍ보건지도사 신청용) [ ]건설재해예방전문지도기관 ※ 색상이 어두운 칸은 신청인이 작성하지 않으며 , [ ]에는 해당되는 곳에 √표를 합니다.",licbyl,descriptive_noise,informative,prepare,,,,,,,,,low,
S0208,"접수번호 접수일시 처리일자 처리기간 20일 신청인 성명 업무지역 사무소 사무소 명칭 전화번호 소재지 대표자 성명(지정신청하는 지도사와 대표자가 다른 경우만 기입합니다) 「산업안전보건법」, 같은 법 시행령 및 같은 법 시행규칙의 관련 규정에 따라 위와 같이 신청합니다.",licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0209,「산업안전보건법 시행규칙」 제229조제2항에 따른 등록증 사본 2.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0210,건물임대차계약서 사본이나 그 밖에 사무실 보유를 증명할 수 있는 서류와 시설ㆍ장비 명세서 3.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0211,최초 1년간의 사업계획서(건설재해예방전문지도기관은 제외합니다) 수수료 없음 공지사항 본 민원의 처리결과에 대한 만족도 조사 및 관련 제도 개선에 필요한 의견조사를 위해 귀하의 전화번호(휴대전화)로 전화조사를 실시할 수 있습니다.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0212,■ 산업안전보건법 시행규칙 [별지 제102호서식] <개정 2025.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0213,> 산업안전보건관리비 사용계획서 (앞 쪽) 1.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0214,일반사항 발주자 공사 금액 계 공사종류 (해당란에 √ 표) [ ]건축공사 [ ]토목공사 [ ]중건설공사 [ ]특수건설공사 ① 재료비 (관급별도) ② 관급재료비 ③ 직접노무비 ④ 그 밖의 사항 산업안전보건관리비 산업안전보건관리비 계상 대상금액 [공사금액 중 ①+②+③] 2.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0215,> 산업안전보건위원회를 구성해야 할 사업의 종류 및 사업장의 상시근로자 수 (제34조 관련) 사업의 종류 사업장의 상시근로자 수 1.,licbyl,descriptive_noise,informative,,legal_scope,,,,,,,,low,
S0216,목재 및 나무제품 제조업; 가구제외 3.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0217,비금속 광물제품 제조업 5.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0218,금속가공제품 제조업; 기계 및 가구 제외 7.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0219,자동차 및 트레일러 제조업 8.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0220,소프트웨어 개발 및 공급업 13.,licbyl,descriptive_noise,informative,,,,,,,,,,low,
S0221,"유해물질취급시에는방독마스크, 보안경, 안전장갑등개인보호구를착용하고작업을해야합니다.",kosha,ppe_rule,mandatory,wear,,,,,ppe_control,ctrl_ppe_wear,보호구 착용,Y,high,
S0222,•DISH와정반사이에발이협착되지않는위치에서크레인에신호,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0223,반복작업및정적인자세로오랜시간작업시주기적으로스트레칭을실시하는가?,kosha,inspection_rule,mandatory,,,,,,,,,,low,
S0224,화학물질취급장소에국소배기장치가설치되어있는가?,kosha,equipment_rule,mandatory,install,hazardous_substance,,,,engineering_control,ctrl_local_ventilation_install,국소배기장치 설치·운전,Y,high,
S0225,유해화학물질사용시물질안전보건자료(MSDS)를눈에띄는곳에비치하고교육을,kosha,document_rule,mandatory,provide,hazardous_substance,,,,document_control,ctrl_msds_posting,MSDS·경고표지 게시,Y,high,
S0226,"작업전, 중, 후주기적으로스트레칭을하는가?",kosha,inspection_rule,mandatory,,,,,,,,,,low,
S0227,● 핸드 크레인은 사람의 팔 모양을 본 따서 만들어진 소형 지브 크레인으로 중량물을 들어 올려서,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0228,"(일명 베이비 크레인, 플로어 크레인) 모든 조작을 인력으",kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0229,붐을 과도하게 인출한 상태로 인양하다가 크레인 넘어짐 위험,kosha,equipment_rule,mandatory,,lifting_operation,,,,,,,,low,
S0230,● 크레인의 후크에는 해지장치를 부착하여 후크에서 이탈을 방지,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0231,- 불균형에 의한 크레인 넘어짐 예방을 위해 반드시 아웃트리거를 펼쳐 고정한 상태로 인양,kosha,equipment_rule,mandatory,,lifting_operation,,,,,,,,low,
S0232,- 붐을 선회하는 타입의 크레인 경우에는 크레인 넘어짐 방지를 위해 일정한 구간에 선회 한도 스토퍼 등,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0233,핸드 크레인을 이용하여 작업 다이 위에 50kg 정도 되는 중량물(지그)을 이동하던 중 핸드 크레인이,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0234,● 크레인 후크에는 해지장치를 부착하여 이탈을 방지,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0235,● 크레인 불균형으로 인한 넘어짐을 예방하기 위해 아웃트리거를 펼쳐 고정한 상태로,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0236,"재해사례 : 핸드 크레인으로 운반중이던 중량물 낙하, 협착",kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0237,● 크레인 후크에서 중량물을 매단 체인이 이탈,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0238,● 크레인 위치 불균형으로 인해 크레인이 기울어짐,kosha,equipment_rule,mandatory,,,,,,,,,,low,
S0239,● 운반물을 인양한 크레인을 인력으로 이동 시에는 바닥 충격이 최소화 하도록 운반 경로를 사전에,kosha,equipment_rule,mandatory,,lifting_operation,,,,,,,,low,
S0240,● 무리하게 단독으로 사용을 금지한다.,kosha,prohibition,prohibited,,,,,,,,,,low,
